item_id;definition;type;category;lexical_category;lexical_class;uni_lemma;complexity_category;num_item_id
item_246;penger;word;household;nouns;nouns;money;;246
item_247;plante;word;household;nouns;nouns;plant;;247
item_248;pute;word;household;nouns;nouns;pillow;;248
item_249;radio;word;household;nouns;nouns;radio;;249
item_250;saks;word;household;nouns;nouns;scissors;;250
item_251;såpe;word;household;nouns;nouns;soap;;251
item_252;sekk;word;household;nouns;nouns;NA;;252
item_253;serviett;word;household;nouns;nouns;NA;;253
item_254;skål;word;household;nouns;nouns;bowl;;254
item_255;skje;word;household;nouns;nouns;spoon;;255
item_256;søppel;word;household;nouns;nouns;trash;;256
item_257;søppelbøtte;word;household;nouns;nouns;NA;;257
item_258;støvsuger;word;household;nouns;nouns;vacuum;;258
item_259;tallerken;word;household;nouns;nouns;plate;;259
item_260;tannbørste;word;household;nouns;nouns;toothbrush;;260
item_261;telefon;word;household;nouns;nouns;telephone;;261
item_262;teppe;word;household;nouns;nouns;blanket;;262
item_263;veske;word;household;nouns;nouns;purse;;263
item_264;bad;word;furniture_rooms;nouns;nouns;bathroom;;264
item_265;badekar;word;furniture_rooms;nouns;nouns;bathtub;;265
item_266;balkong;word;furniture_rooms;nouns;nouns;NA;;266
item_267;barneseng;word;furniture_rooms;nouns;nouns;NA;;267
item_268;barnestol;word;furniture_rooms;nouns;nouns;high chair;;268
item_269;bord;word;furniture_rooms;nouns;nouns;table;;269
item_270;do;word;furniture_rooms;nouns;nouns;NA;;270
item_271;dør;word;furniture_rooms;nouns;nouns;door;;271
item_272;dusj;word;furniture_rooms;nouns;nouns;NA;;272
item_273;garasje;word;furniture_rooms;nouns;nouns;garage;;273
item_274;gyngestol;word;furniture_rooms;nouns;nouns;rocking chair;;274
item_275;kjeller;word;furniture_rooms;nouns;nouns;NA;;275
item_276;kjøkken;word;furniture_rooms;nouns;nouns;kitchen;;276
item_277;kjøleskap;word;furniture_rooms;nouns;nouns;refrigerator;;277
item_278;komfyr;word;furniture_rooms;nouns;nouns;stove;;278
