item_id,definition,type,category,lexical_category,lexical_class,uni_lemma,complexity_category
item_483,si,word,action_words,predicates,verbs,say,
item_484,sitte,word,action_words,predicates,verbs,,
item_485,skjære,word,action_words,predicates,verbs,,
item_486,skli,word,action_words,predicates,verbs,,
item_487,skrive,word,action_words,predicates,verbs,write,
item_488,skynde seg,word,action_words,predicates,verbs,,
item_489,slikke,word,action_words,predicates,verbs,,
item_490,slutte,word,action_words,predicates,verbs,,
item_491,slå,word,action_words,predicates,verbs,hit,
item_492,smake,word,action_words,predicates,verbs,,
item_493,smile,word,action_words,predicates,verbs,smile,
item_494,snakke,word,action_words,predicates,verbs,,
item_495,sove,word,action_words,predicates,verbs,sleep,
item_496,sparke,word,action_words,predicates,verbs,kick,
item_497,spille,word,action_words,predicates,verbs,,
item_498,spise,word,action_words,predicates,verbs,eat,
item_499,stikke,word,action_words,predicates,verbs,,
item_500,stoppe,word,action_words,predicates,verbs,stop,
item_501,stå,word,action_words,predicates,verbs,,
item_502,synge,word,action_words,predicates,verbs,sing,
item_503,svømme,word,action_words,predicates,verbs,swim,
item_504,søle,word,action_words,predicates,verbs,,
item_505,ta,word,action_words,predicates,verbs,take,
item_506,tegne,word,action_words,predicates,verbs,draw,
item_507,tenke,word,action_words,predicates,verbs,,
item_508,treffe,word,action_words,predicates,verbs,,
item_509,dra,word,action_words,predicates,verbs,go,
item_510,tørke,word,action_words,predicates,verbs,dry (action),
item_511,vaske,word,action_words,predicates,verbs,wash,
item_512,vente,word,action_words,predicates,verbs,,
item_513,slå seg,word,action_words,predicates,verbs,,
item_514,vise,word,action_words,predicates,verbs,show,
item_515,velte,word,action_words,predicates,verbs,,
item_516,være glad i,word,action_words,predicates,verbs,,
item_517,våkne,word,action_words,predicates,verbs,,
item_518,ødelegge,word,action_words,predicates,verbs,break,
item_519,ønske,word,action_words,predicates,verbs,,
item_520,åpne,word,action_words,predicates,verbs,open (action),
item_521,bedre,word,descriptive_words,predicates,adjectives,,
item_522,blå,word,descriptive_words,predicates,adjectives,blue,
item_523,bløt,word,descriptive_words,predicates,adjectives,,
item_524,borte,word,descriptive_words,predicates,adjectives,all gone,
item_525,bra,word,descriptive_words,predicates,adjectives,good,
item_526,bråkete,word,descriptive_words,predicates,adjectives,,
item_527,brun,word,descriptive_words,predicates,adjectives,,
item_528,dårlig,word,descriptive_words,predicates,adjectives,,
item_529,ekkelt,word,descriptive_words,predicates,adjectives,yucky,
item_530,fin,word,descriptive_words,predicates,adjectives,fine,
item_531,forsiktig,word,descriptive_words,predicates,adjectives,careful,
item_532,først,word,descriptive_words,predicates,adjectives,,
item_533,fort,word,descriptive_words,predicates,adjectives,fast,
item_534,frekk,word,descriptive_words,predicates,adjectives,bad,
item_535,full,word,descriptive_words,predicates,adjectives,,
item_536,gammel,word,descriptive_words,predicates,adjectives,old,
item_537,glad,word,descriptive_words,predicates,adjectives,happy,
item_538,god,word,descriptive_words,predicates,adjectives,,
item_539,grønn,word,descriptive_words,predicates,adjectives,,
item_540,gul,word,descriptive_words,predicates,adjectives,,
item_541,hard,word,descriptive_words,predicates,adjectives,hard,
item_542,høy,word,descriptive_words,predicates,adjectives,,
item_543,hvit,word,descriptive_words,predicates,adjectives,,
item_544,kald,word,descriptive_words,predicates,adjectives,cold,
item_545,klissete,word,descriptive_words,predicates,adjectives,,
item_546,lang,word,descriptive_words,predicates,adjectives,,
item_547,lei seg,word,descriptive_words,predicates,adjectives,,
item_548,liten,word,descriptive_words,predicates,adjectives,little (description),
item_549,mørkt,word,descriptive_words,predicates,adjectives,dark,
item_550,ny,word,descriptive_words,predicates,adjectives,,
item_551,ødelagt,word,descriptive_words,predicates,adjectives,broken,
