text_type;text;item_type;category
warning;Poniższe przykłady zdań ułożyliśmy parami: w każdej parze jedna wersja jest mniej, a druga bardziej złożona. Zaznacz wersję, która przypomina wypowiedzi Twojego dziecka. Nie chodzi nam o dokładnie takie sformułowania, jakich użyliśmy w przykładach. Również wyrazy używane przez Twoje dziecko mogą być inne (np. inne nazwy potraw czy przedmiotów). Mogą też występować w nich błędy, np. „chciałambym” zamiast „chciałabym”). Jeżeli obie wersje przypominają wypowiedzi Twojego dziecka, możesz zaznaczyć obie, a jeśli Twoje dziecko jeszcze w ogóle nie tworzy takich wypowiedzi, nie zaznaczaj żadnej z nich.;sentences;alternatives_simple_3
catHeader;Przykłady zdań;sentences;alternatives_complex
warning;Poniższe przykłady zdań ułożyliśmy parami: w każdej parze jedna wersja jest mniej, a druga bardziej złożona. Zaznacz wersję, która przypomina wypowiedzi Twojego dziecka. Nie chodzi nam o dokładnie takie sformułowania, jakich użyliśmy w przykładach. Również wyrazy używane przez Twoje dziecko mogą być inne (np. inne nazwy potraw czy przedmiotów). Mogą też występować w nich błędy, np. „chciałambym” zamiast „chciałabym”). Jeżeli obie wersje przypominają wypowiedzi Twojego dziecka, możesz zaznaczyć obie, a jeśli Twoje dziecko jeszcze w ogóle nie tworzy takich wypowiedzi, nie zaznaczaj żadnej z nich.;sentences;alternatives_complex
catHeader;Dodatkowe pytania;sentences;questions
longText;Poniżej znajdziesz jeszcze listę pytań dotyczących tego, jak Twoje dziecko posługuje się językiem. Odpowiadając na nie, pamiętaj, że pytamy o rzeczy, które mogą pojawiać się w różnym wieku, a w dodatku dzieci rozwijają się w różnym tempie: nie martw się, jeśli na większość tych pytań odpowiesz przecząco. Nie przejmuj się też, jeśli Twoje dziecko popełnia błędy. Np. jeśli pytamy, czy Twoje dziecko dodaje „-bym” do czasowników, odpowiedz twierdząco, jeśli Twoje dziecko mówi np. „chciałambym”.;sentences;questions
choiceNames;jeszcze nie, czasem, często;sentences;questions
help;Czy odpowiedziałaś_eś na wszystkie pytania?;sentences;questions
tooltip;Zakończenie kwestionariusza będzie możliwe po zatwierdzeniu wszystkich części.;end;
instr;Jeśli wypełniłaś_eś wszystko, kliknij przycisk „Zatwierdź”.;end;
endMsgTitle;Dziękujemy!;end;
endMsgText; Bardzo dziękujemy za udział w tej części naszego projektu! Mamy nadzieję, że czas refleksji nad rozwojem językowym dziecka był dla Ciebie cenny! Twoje zaangażowanie jest bardzo ważne - dzięki niemu możemy udoskonalać narzędzia do oceny rozwoju językowego dzieci.;end;
