item_id;definition;type;category;lexical_category;lexical_class;uni_lemma;complexity_category
item_452;Tar på seg halskjede eller andre pyntesaker selv.;gestures_objects;;;;;
item_453;Legger hodet på samlede hender og kniper øynene for å late som om hun/han sover.;gestures_objects;;;;;
item_454;Blåser for å vise at noe er varmt.;gestures_objects;;;;;
item_455;Holder et lekefly i hånda og later som om det flyr.;gestures_objects;;;;;
item_456;Tar telefonen til øret.;gestures_objects;;;;;
item_457;Lukter på blomster.;gestures_objects;;;;;
item_458;Dytter lekebiler rundt på gulvet og later som om de kjører.;gestures_objects;;;;;
item_459;Kaster ball.;gestures_objects;;;;;
item_460;Later som om man heller noe flytende fra en beholder til en annen.;gestures_objects;;;;;
item_461;Later som om man rører med en skje i en gryte eller kopp.;gestures_objects;;;;;
item_462;Legger dem i senga for å sove.;gestures_parent;;;;;
item_463;Tar dyne over.;gestures_parent;;;;;
item_464;Mater med en flaske.;gestures_parent;;;;;
item_465;Mater med en skje.;gestures_parent;;;;;
item_466;Børster/grer håret.;gestures_parent;;;;;
item_467;Klapper barnet på ryggen for å få en rap.;gestures_parent;;;;;
item_468;Triller i vogn.;gestures_parent;;;;;
item_469;Vugger/rugger det i armene.;gestures_parent;;;;;
item_470;Kysser eller klemmer på det.;gestures_parent;;;;;
item_471;Prøver å kle på det.;gestures_parent;;;;;
item_472;Tørker det i ansiktet eller hendene.;gestures_parent;;;;;
item_473;Snakker til det.;gestures_parent;;;;;
item_474;Prøver å ta på bleie.;gestures_parent;;;;;
item_475;Feier med en kost.;gestures_adult;;;;;
item_476;Putter nøkkel i nøkkelhullet (eller i nærheten av det).;gestures_adult;;;;;
item_477;Banker med en hammer.;gestures_adult;;;;;
item_478;Prøver å sage.;gestures_adult;;;;;
item_479;Skriver på et tastatur.;gestures_adult;;;;;
item_480;Leser (åpner bøker og blar i sidene).;gestures_adult;;;;;
item_481;Støvsuger.;gestures_adult;;;;;
item_482;Vanner planter.;gestures_adult;;;;;
item_483;Spiller på musikkinstrumenter.;gestures_adult;;;;;
item_484;Kjører bil ved å styre med et ratt.;gestures_adult;;;;;
item_485;Vasker opp.;gestures_adult;;;;;
item_486;Gjør rent med klut eller tørker støv.;gestures_adult;;;;;
item_487;Skriver/tegner med blyant, tusj eller fargestifter.;gestures_adult;;;;;
item_488;Graver med en spade (i sandkassen).;gestures_adult;;;;;
item_489;Tar på seg (sol)briller.;gestures_adult;;;;;
